route,viewport,status,title,evidence,root_overflow,page_overflow,error,repro_url
#/knowledge/datasets,mobile-375x844,PASS,数据集,数据集列表、发布状态、目录树,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-knowledge/datasets#/knowledge/datasets
#/knowledge/datasets,mobile-390x844,PASS,数据集,数据集列表、发布状态、目录树,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-knowledge/datasets#/knowledge/datasets
#/knowledge/datasets,mobile-414x844,PASS,数据集,数据集列表、发布状态、目录树,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-knowledge/datasets#/knowledge/datasets
#/knowledge/registry,desktop-1280x720,PASS,数据登记,真实在线空态；导入入口；未启用能力明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-knowledge/registry#/knowledge/registry
#/knowledge/registry,mobile-320x844,PASS,数据登记,真实在线空态；导入入口；未启用能力明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-knowledge/registry#/knowledge/registry
#/knowledge/registry,mobile-375x844,PASS,数据登记,真实在线空态；导入入口；未启用能力明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-knowledge/registry#/knowledge/registry
#/knowledge/registry,mobile-390x844,PASS,数据登记,真实在线空态；导入入口；未启用能力明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-knowledge/registry#/knowledge/registry
#/knowledge/registry,mobile-414x844,PASS,数据登记,真实在线空态；导入入口；未启用能力明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-knowledge/registry#/knowledge/registry
#/knowledge/parsing,desktop-1280x720,PASS,数据解析,服务端 Task 已完成 100%；Artifact Markdown 预览,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-knowledge/parsing#/knowledge/parsing
#/knowledge/parsing,mobile-320x844,PASS,数据解析,服务端 Task 已完成 100%；Artifact Markdown 预览,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-knowledge/parsing#/knowledge/parsing
#/knowledge/parsing,mobile-375x844,PASS,数据解析,服务端 Task 已完成 100%；Artifact Markdown 预览,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-knowledge/parsing#/knowledge/parsing
#/knowledge/parsing,mobile-390x844,PASS,数据解析,服务端 Task 已完成 100%；Artifact Markdown 预览,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-knowledge/parsing#/knowledge/parsing
#/knowledge/parsing,mobile-414x844,PASS,数据解析,服务端 Task 已完成 100%；Artifact Markdown 预览,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-knowledge/parsing#/knowledge/parsing
#/knowledge/index,desktop-1280x720,PASS,构建知识索引,18 个真实知识块；活动 Release v1,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-knowledge/index#/knowledge/index
#/knowledge/index,mobile-320x844,PASS,构建知识索引,18 个真实知识块；活动 Release v1,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-knowledge/index#/knowledge/index
#/knowledge/index,mobile-375x844,PASS,构建知识索引,18 个真实知识块；活动 Release v1,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-knowledge/index#/knowledge/index
#/knowledge/index,mobile-390x844,PASS,构建知识索引,18 个真实知识块；活动 Release v1,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-knowledge/index#/knowledge/index
#/knowledge/index,mobile-414x844,PASS,构建知识索引,18 个真实知识块；活动 Release v1,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-knowledge/index#/knowledge/index
#/qaflow/parse,desktop-1280x720,PASS,问题解析,Query Trace 1/8；真实 Trace selector,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/parse#/qaflow/parse
#/qaflow/parse,mobile-320x844,PASS,问题解析,Query Trace 1/8；真实 Trace selector,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/parse#/qaflow/parse
#/qaflow/parse,mobile-375x844,PASS,问题解析,Query Trace 1/8；真实 Trace selector,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/parse#/qaflow/parse
#/qaflow/parse,mobile-390x844,PASS,问题解析,Query Trace 1/8；真实 Trace selector,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/parse#/qaflow/parse
#/qaflow/parse,mobile-414x844,PASS,问题解析,Query Trace 1/8；真实 Trace selector,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/parse#/qaflow/parse
#/qaflow/embed,desktop-1280x720,PASS,问题向量化,Query Trace 2/8；local-hash-v1/128 维,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/embed#/qaflow/embed
#/qaflow/embed,mobile-320x844,PASS,问题向量化,Query Trace 2/8；local-hash-v1/128 维,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/embed#/qaflow/embed
#/qaflow/embed,mobile-375x844,PASS,问题向量化,Query Trace 2/8；local-hash-v1/128 维,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/embed#/qaflow/embed
#/qaflow/embed,mobile-390x844,PASS,问题向量化,Query Trace 2/8；local-hash-v1/128 维,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/embed#/qaflow/embed
#/qaflow/embed,mobile-414x844,PASS,问题向量化,Query Trace 2/8；local-hash-v1/128 维,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/embed#/qaflow/embed
#/qaflow/route,desktop-1280x720,PASS,检索路由,Query Trace 3/8；路由输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/route#/qaflow/route
#/qaflow/route,mobile-320x844,PASS,检索路由,Query Trace 3/8；路由输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/route#/qaflow/route
#/qaflow/route,mobile-375x844,PASS,检索路由,Query Trace 3/8；路由输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/route#/qaflow/route
#/qaflow/route,mobile-390x844,PASS,检索路由,Query Trace 3/8；路由输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/route#/qaflow/route
#/qaflow/route,mobile-414x844,PASS,检索路由,Query Trace 3/8；路由输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/route#/qaflow/route
#/qaflow/recall,desktop-1280x720,PASS,多路召回,Query Trace 4/8；召回输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/recall#/qaflow/recall
#/qaflow/recall,mobile-320x844,PASS,多路召回,Query Trace 4/8；召回输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/recall#/qaflow/recall
#/qaflow/recall,mobile-375x844,PASS,多路召回,Query Trace 4/8；召回输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/recall#/qaflow/recall
#/qaflow/recall,mobile-390x844,PASS,多路召回,Query Trace 4/8；召回输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/recall#/qaflow/recall
#/qaflow/recall,mobile-414x844,PASS,多路召回,Query Trace 4/8；召回输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/recall#/qaflow/recall
#/qaflow/fuse,desktop-1280x720,PASS,结果融合,Query Trace 5/8；融合输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/fuse#/qaflow/fuse
#/qaflow/fuse,mobile-320x844,PASS,结果融合,Query Trace 5/8；融合输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/fuse#/qaflow/fuse
#/qaflow/fuse,mobile-375x844,PASS,结果融合,Query Trace 5/8；融合输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/fuse#/qaflow/fuse
#/qaflow/fuse,mobile-390x844,PASS,结果融合,Query Trace 5/8；融合输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/fuse#/qaflow/fuse
#/qaflow/fuse,mobile-414x844,PASS,结果融合,Query Trace 5/8；融合输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/fuse#/qaflow/fuse
#/qaflow/rerank,desktop-1280x720,PASS,重排,Query Trace 6/8；重排输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/rerank#/qaflow/rerank
#/qaflow/rerank,mobile-320x844,PASS,重排,Query Trace 6/8；重排输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/rerank#/qaflow/rerank
#/qaflow/rerank,mobile-375x844,PASS,重排,Query Trace 6/8；重排输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/rerank#/qaflow/rerank
#/qaflow/rerank,mobile-390x844,PASS,重排,Query Trace 6/8；重排输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/rerank#/qaflow/rerank
#/qaflow/rerank,mobile-414x844,PASS,重排,Query Trace 6/8；重排输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/rerank#/qaflow/rerank
#/qaflow/prompt,desktop-1280x720,PASS,构建提示词,Query Trace 7/8；提示词输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/prompt#/qaflow/prompt
#/qaflow/prompt,mobile-320x844,PASS,构建提示词,Query Trace 7/8；提示词输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/prompt#/qaflow/prompt
#/qaflow/prompt,mobile-375x844,PASS,构建提示词,Query Trace 7/8；提示词输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/prompt#/qaflow/prompt
#/qaflow/prompt,mobile-390x844,PASS,构建提示词,Query Trace 7/8；提示词输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/prompt#/qaflow/prompt
#/qaflow/prompt,mobile-414x844,PASS,构建提示词,Query Trace 7/8；提示词输出,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/prompt#/qaflow/prompt
#/qaflow/answer,desktop-1280x720,PASS,回答生成,Query Trace 8/8；sufficient evidence；citations,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-qaflow/answer#/qaflow/answer
#/qaflow/answer,mobile-320x844,PASS,回答生成,Query Trace 8/8；sufficient evidence；citations,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-qaflow/answer#/qaflow/answer
#/qaflow/answer,mobile-375x844,PASS,回答生成,Query Trace 8/8；sufficient evidence；citations,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-qaflow/answer#/qaflow/answer
#/qaflow/answer,mobile-390x844,PASS,回答生成,Query Trace 8/8；sufficient evidence；citations,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-qaflow/answer#/qaflow/answer
#/qaflow/answer,mobile-414x844,PASS,回答生成,Query Trace 8/8；sufficient evidence；citations,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-qaflow/answer#/qaflow/answer
#/apps/chat,desktop-1280x720,PASS,智能问答,真实会话列表与回答/引用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-apps/chat#/apps/chat
#/apps/chat,mobile-320x844,PASS,智能问答,真实会话列表与回答/引用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-apps/chat#/apps/chat
#/apps/chat,mobile-375x844,PASS,智能问答,真实会话列表与回答/引用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-apps/chat#/apps/chat
#/apps/chat,mobile-390x844,PASS,智能问答,真实会话列表与回答/引用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-apps/chat#/apps/chat
#/apps/chat,mobile-414x844,PASS,智能问答,真实会话列表与回答/引用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-apps/chat#/apps/chat
#/apps/assistants,desktop-1280x720,PASS,智能助手,真实在线空态；无 undefined.id 崩溃,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-apps/assistants#/apps/assistants
#/apps/assistants,mobile-320x844,PASS,智能助手,真实在线空态；无 undefined.id 崩溃,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-apps/assistants#/apps/assistants
#/apps/assistants,mobile-375x844,PASS,智能助手,真实在线空态；无 undefined.id 崩溃,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-apps/assistants#/apps/assistants
#/apps/assistants,mobile-390x844,PASS,智能助手,真实在线空态；无 undefined.id 崩溃,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-apps/assistants#/apps/assistants
#/apps/assistants,mobile-414x844,PASS,智能助手,真实在线空态；无 undefined.id 崩溃,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-apps/assistants#/apps/assistants
#/settings/general,desktop-1280x720,PASS,通用,真实设置回填；未支持项明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-settings/general#/settings/general
#/settings/general,mobile-320x844,PASS,通用,真实设置回填；未支持项明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-settings/general#/settings/general
#/settings/general,mobile-375x844,PASS,通用,真实设置回填；未支持项明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-settings/general#/settings/general
#/settings/general,mobile-390x844,PASS,通用,真实设置回填；未支持项明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-settings/general#/settings/general
#/settings/general,mobile-414x844,PASS,通用,真实设置回填；未支持项明确,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-settings/general#/settings/general
#/settings/models,desktop-1280x720,PASS,模型配置,真实模型连接与可用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-settings/models#/settings/models
#/settings/models,mobile-320x844,PASS,模型配置,真实模型连接与可用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-settings/models#/settings/models
#/settings/models,mobile-375x844,PASS,模型配置,真实模型连接与可用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-settings/models#/settings/models
#/settings/models,mobile-390x844,PASS,模型配置,真实模型连接与可用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-settings/models#/settings/models
#/settings/models,mobile-414x844,PASS,模型配置,真实模型连接与可用状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-settings/models#/settings/models
#/settings/storage,desktop-1280x720,PASS,存储配置,真实 health/backup/storage 状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-settings/storage#/settings/storage
#/settings/storage,mobile-320x844,PASS,存储配置,真实 health/backup/storage 状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-settings/storage#/settings/storage
#/settings/storage,mobile-375x844,PASS,存储配置,真实 health/backup/storage 状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-settings/storage#/settings/storage
#/settings/storage,mobile-390x844,PASS,存储配置,真实 health/backup/storage 状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-settings/storage#/settings/storage
#/settings/storage,mobile-414x844,PASS,存储配置,真实 health/backup/storage 状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-settings/storage#/settings/storage
#/settings/version,desktop-1280x720,PASS,版本信息,/version 与 /diagnostics 真实字段,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-settings/version#/settings/version
#/settings/version,mobile-320x844,PASS,版本信息,/version 与 /diagnostics 真实字段,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-settings/version#/settings/version
#/settings/version,mobile-375x844,PASS,版本信息,/version 与 /diagnostics 真实字段,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-settings/version#/settings/version
#/settings/version,mobile-390x844,PASS,版本信息,/version 与 /diagnostics 真实字段,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-settings/version#/settings/version
#/settings/version,mobile-414x844,PASS,版本信息,/version 与 /diagnostics 真实字段,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-settings/version#/settings/version
